title,wiki_page,category,has_female_protagonist,evidence_type,evidence_sentence
White Night (video game),https://en.wikipedia.org/wiki/White_Night_%28video_game%29,Survival horror video games; 2010s horror video games,False,,
Wilson's Heart (video game),https://en.wikipedia.org/wiki/Wilson%27s_Heart_%28video_game%29,2010s horror video games,False,,
The Witch's House MV,https://en.wikipedia.org/wiki/The_Witch%27s_House_MV,2010s horror video games,False,,
Wolfenstein: The Old Blood,https://en.wikipedia.org/wiki/Wolfenstein%3A_The_Old_Blood,2010s horror video games; Video games about zombies,False,,
World War Z (2019 video game),https://en.wikipedia.org/wiki/World_War_Z_%282019_video_game%29,2010s horror video games; Video games about zombies,False,,
Year Walk,https://en.wikipedia.org/wiki/Year_Walk,2010s horror video games,True,protagonist+she,"year walk begins with the protagonist daniel svensson visiting his lover, stina, who hints that she has been proposed to, and warns the player about the dangers of year walking (a divination ritual on new year’s eve which involves circling a churchyard )"
Yomawari: Midnight Shadows,https://en.wikipedia.org/wiki/Yomawari%3A_Midnight_Shadows,2010s horror video games,False,,
Yomawari: Night Alone,https://en.wikipedia.org/wiki/Yomawari%3A_Night_Alone,2010s horror video games,False,,
Yume Nikki: Dream Diary,https://en.wikipedia.org/wiki/Yume_Nikki%3A_Dream_Diary,2010s horror video games,True,control+female_term,"as in yume nikki , the player controls a girl named madotsuki from a third-person perspective and explores worlds inside her dreams"
Yuppie Psycho,https://en.wikipedia.org/wiki/Yuppie_Psycho,Survival horror video games; 2010s horror video games,False,,
Zombie Army Trilogy,https://en.wikipedia.org/wiki/Zombie_Army_Trilogy,2010s horror video games; Video games about zombies,False,,
ZombiU,https://en.wikipedia.org/wiki/ZombiU,Survival horror video games; 2010s horror video games; Video games about zombies,False,,
Ad Infinitum (video game),https://en.wikipedia.org/wiki/Ad_Infinitum_%28video_game%29,Survival horror video games; 2020s horror video games,False,,
Amanda the Adventurer,https://en.wikipedia.org/wiki/Amanda_the_Adventurer,2020s horror video games,False,,
Amenti (video game),https://en.wikipedia.org/wiki/Amenti_%28video_game%29,Survival horror video games; 2020s horror video games,False,,
Amnesia: Rebirth,https://en.wikipedia.org/wiki/Amnesia%3A_Rebirth,Survival horror video games; 2020s horror video games; Psychological horror games,False,,
Amnesia: The Bunker,https://en.wikipedia.org/wiki/Amnesia%3A_The_Bunker,Survival horror video games; 2020s horror video games,False,,
Anthology of the Killer,https://en.wikipedia.org/wiki/Anthology_of_the_Killer,2020s horror video games,True,control+female_term,the horror games of the anthology of the killer series are primarily walking simulators ; the player controls bb to explore environments and walk to hovering bubbles to read dialogue from her and other characters
Asylum (2025 video game),https://en.wikipedia.org/wiki/Asylum_%282025_video_game%29,2020s horror video games; Psychological horror games,False,,
The Backrooms,https://en.wikipedia.org/wiki/The_Backrooms,2020s horror video games,False,,
Bad Ben,https://en.wikipedia.org/wiki/Bad_Ben,2020s horror video games,False,,
Bendy and the Dark Revival,https://en.wikipedia.org/wiki/Bendy_and_the_Dark_Revival,2020s horror video games,False,,
Blaseball,https://en.wikipedia.org/wiki/Blaseball,2020s horror video games,False,,
The Blood of Dawnwalker,https://en.wikipedia.org/wiki/The_Blood_of_Dawnwalker,Gothic video games; Dark fantasy role-playing video games; 2020s horror video games; Video games about vampires,False,,
Buddy Simulator 1984,https://en.wikipedia.org/wiki/Buddy_Simulator_1984,2020s horror video games,False,,
The Callisto Protocol,https://en.wikipedia.org/wiki/The_Callisto_Protocol,Survival horror video games; Science fiction horror video games; 2020s horror video games,False,,
Carrion (video game),https://en.wikipedia.org/wiki/Carrion_%28video_game%29,2020s horror video games,False,,
Centum (video game),https://en.wikipedia.org/wiki/Centum_%28video_game%29,2020s horror video games; Psychological horror games,False,,
Chernobylite (video game),https://en.wikipedia.org/wiki/Chernobylite_%28video_game%29,Survival horror video games; 2020s horror video games,False,,
Choo-Choo Charles,https://en.wikipedia.org/wiki/Choo-Choo_Charles,2020s horror video games,False,,
CloverPit,https://en.wikipedia.org/wiki/CloverPit,2020s horror video games; Psychological horror games,False,,
Content Warning,https://en.wikipedia.org/wiki/Content_Warning,Survival horror video games; Horror video game stubs; 2020s horror video games,False,,
Corpse Party II: Darkness Distortion,https://en.wikipedia.org/wiki/Corpse_Party_II%3A_Darkness_Distortion,2020s horror video games,False,,
Creaks,https://en.wikipedia.org/wiki/Creaks,2020s horror video games,True,protagonist+she,"it swallows the mechanic before retreating, and the scientist, saddened, leads the protagonist to her workshop, where it is revealed that she originally built the giant creature to power the mansion"
The Dark Pictures Anthology: The Devil in Me,https://en.wikipedia.org/wiki/The_Dark_Pictures_Anthology%3A_The_Devil_in_Me,The Dark Pictures Anthology; 2020s horror video games,False,,
The Dark Pictures Anthology: House of Ashes,https://en.wikipedia.org/wiki/The_Dark_Pictures_Anthology%3A_House_of_Ashes,The Dark Pictures Anthology; Video games about vampires; 2020s horror video games; Science fiction horror video games,False,,
The Dark Pictures Anthology: Little Hope,https://en.wikipedia.org/wiki/The_Dark_Pictures_Anthology%3A_Little_Hope,The Dark Pictures Anthology; 2020s horror video games,False,,
Daymare: 1994 Sandcastle,https://en.wikipedia.org/wiki/Daymare%3A_1994_Sandcastle,Survival horror video games; 2020s horror video games,False,,
Dead Space (2023 video game),https://en.wikipedia.org/wiki/Dead_Space_%282023_video_game%29,Dead Space games; 2020s horror video games,False,,
Dead Static Drive,https://en.wikipedia.org/wiki/Dead_Static_Drive,Survival horror video games; 2020s horror video games,False,,
Dead Take,https://en.wikipedia.org/wiki/Dead_Take,2020s horror video games,False,,
Devour (video game),https://en.wikipedia.org/wiki/Devour_%28video_game%29,Video games about demons; 2020s horror video games,False,,
Directive 8020,https://en.wikipedia.org/wiki/Directive_8020,The Dark Pictures Anthology; Science fiction horror video games; 2020s horror video games,False,,
Dreamcore,https://en.wikipedia.org/wiki/Dreamcore,2020s horror video games,False,,
Dredge (video game),https://en.wikipedia.org/wiki/Dredge_%28video_game%29,2020s horror video games; Psychological horror games,False,,
Emio – The Smiling Man: Famicom Detective Club,https://en.wikipedia.org/wiki/Emio_%E2%80%93_The_Smiling_Man%3A_Famicom_Detective_Club,2020s horror video games,False,,
Evil Dead: The Game,https://en.wikipedia.org/wiki/Evil_Dead%3A_The_Game,Body horror video games; 2020s horror video games; The Evil Dead (franchise) video games,False,,
The Exit 8,https://en.wikipedia.org/wiki/The_Exit_8,2020s horror video games,False,,
Five Nights at Freddy's: Security Breach,https://en.wikipedia.org/wiki/Five_Nights_at_Freddy%27s%3A_Security_Breach,Survival horror video games; 2020s horror video games; Five Nights at Freddy's video games,False,,
Fort Solis,https://en.wikipedia.org/wiki/Fort_Solis,2020s horror video games,False,,
Gensō Rōgoku no Kaleidoscope,https://en.wikipedia.org/wiki/Gens%C5%8D_R%C5%8Dgoku_no_Kaleidoscope,2020s horror video games,False,,
GTFO (video game),https://en.wikipedia.org/wiki/GTFO_%28video_game%29,2020s horror video games,False,,
Happy Game,https://en.wikipedia.org/wiki/Happy_Game,2020s horror video games,False,,
Haunted PS1,https://en.wikipedia.org/wiki/Haunted_PS1,Haunted PS1 games; 2020s horror video games,False,,
Home Safety Hotline,https://en.wikipedia.org/wiki/Home_Safety_Hotline,2020s horror video games,False,,
Horses (video game),https://en.wikipedia.org/wiki/Horses_%28video_game%29,2020s horror video games,False,,
In Sound Mind,https://en.wikipedia.org/wiki/In_Sound_Mind,2020s horror video games; Psychological horror games,False,,
Inscryption,https://en.wikipedia.org/wiki/Inscryption,Dark fantasy video games; 2020s horror video games; Psychological horror games,False,,
Into the Dead: Our Darkest Days,https://en.wikipedia.org/wiki/Into_the_Dead%3A_Our_Darkest_Days,Survival horror video games; Into the Dead (franchise); 2020s horror video games; Video games about zombies,False,,
Iron Lung (video game),https://en.wikipedia.org/wiki/Iron_Lung_%28video_game%29,Science fiction horror video games; 2020s horror video games,False,,
Killer Frequency,https://en.wikipedia.org/wiki/Killer_Frequency,2020s horror video games,False,,
Killer Klowns from Outer Space: The Game,https://en.wikipedia.org/wiki/Killer_Klowns_from_Outer_Space%3A_The_Game,Survival horror video games; 2020s horror video games,False,,
The Last of Us Part I,https://en.wikipedia.org/wiki/The_Last_of_Us_Part_I,2020s horror video games; The Last of Us; Video games about zombies,True,control+female_term,"players control joel , who is tasked with escorting the young ellie across a post-apocalyptic united states and defend her against cannibalistic creatures infected by a mutated strain of the cordyceps fungus"
The Last of Us Part II,https://en.wikipedia.org/wiki/The_Last_of_Us_Part_II,2020s horror video games; The Last of Us; Video games about zombies,False,,
Layers of Fear (2023 video game),https://en.wikipedia.org/wiki/Layers_of_Fear_%282023_video_game%29,2020s horror video games,False,,
Lethal Company,https://en.wikipedia.org/wiki/Lethal_Company,Survival horror video games; 2020s horror video games,False,,
Little Nightmares II,https://en.wikipedia.org/wiki/Little_Nightmares_II,Survival horror video games; 2020s horror video games,False,,
Little Nightmares III,https://en.wikipedia.org/wiki/Little_Nightmares_III,Survival horror video games; 2020s horror video games,False,,
Look Outside,https://en.wikipedia.org/wiki/Look_Outside,Survival horror video games; Body horror video games; 2020s horror video games,False,,
MADiSON (video game),https://en.wikipedia.org/wiki/MADiSON_%28video_game%29,2020s horror video games,False,,
Maid of Sker (video game),https://en.wikipedia.org/wiki/Maid_of_Sker_%28video_game%29,Survival horror video games; Gothic video games; 2020s horror video games,True,protagonist+she,"the protagonist, thomas evans, is invited by his lover, elisabeth williams, to uncover the mysteries of the hotel after she notices her family's strange behavior"
The Medium (video game),https://en.wikipedia.org/wiki/The_Medium_%28video_game%29,2020s horror video games; Psychological horror games,False,,
Milk Inside a Bag of Milk Inside a Bag of Milk,https://en.wikipedia.org/wiki/Milk_Inside_a_Bag_of_Milk_Inside_a_Bag_of_Milk,2020s horror video games; Psychological horror games,True,explicit_phrase,Contains explicit phrase 'female protagonist'.
Milk Outside a Bag of Milk Outside a Bag of Milk,https://en.wikipedia.org/wiki/Milk_Outside_a_Bag_of_Milk_Outside_a_Bag_of_Milk,2020s horror video games; Psychological horror games,True,explicit_phrase,Contains explicit phrase 'female protagonist'.
MiSide,https://en.wikipedia.org/wiki/MiSide,2020s horror video games; Psychological horror games,False,,
Momotype,https://en.wikipedia.org/wiki/Momotype,2020s horror video games; Psychological horror games,False,,
Mouthwashing (video game),https://en.wikipedia.org/wiki/Mouthwashing_%28video_game%29,Video games about cannibalism; Science fiction horror video games; 2020s horror video games; Psychological horror games,False,,
Mundaun (video game),https://en.wikipedia.org/wiki/Mundaun_%28video_game%29,2020s horror video games,False,,
Murder House (video game),https://en.wikipedia.org/wiki/Murder_House_%28video_game%29,2020s horror video games,False,,
My Friendly Neighborhood,https://en.wikipedia.org/wiki/My_Friendly_Neighborhood,Survival horror video games; 2020s horror video games,False,,
MyHouse.wad,https://en.wikipedia.org/wiki/MyHouse.wad,2020s horror video games,False,,
Needy Streamer Overload,https://en.wikipedia.org/wiki/Needy_Streamer_Overload,2020s horror video games; Psychological horror games,True,protagonist+she,"the protagonist, affectionately called p-chan ( ピ , pi ) , is tasked with managing her day-to-day life as she increases her follower count"
No One Lives Under the Lighthouse,https://en.wikipedia.org/wiki/No_One_Lives_Under_the_Lighthouse,2020s horror video games,False,,
"No, I'm Not a Human",https://en.wikipedia.org/wiki/No%2C_I%27m_Not_a_Human,2020s horror video games,False,,
Omori (video game),https://en.wikipedia.org/wiki/Omori_%28video_game%29,2020s horror video games; Psychological horror games,False,,
The Outlast Trials,https://en.wikipedia.org/wiki/The_Outlast_Trials,Survival horror video games; 2020s horror video games; Psychological horror games,False,,
Paranormasight: The Seven Mysteries of Honjo,https://en.wikipedia.org/wiki/Paranormasight%3A_The_Seven_Mysteries_of_Honjo,Video games about ghosts; 2020s horror video games,False,,
Pools (video game),https://en.wikipedia.org/wiki/Pools_%28video_game%29,2020s horror video games,False,,
Poppy Playtime,https://en.wikipedia.org/wiki/Poppy_Playtime,2020s horror video games,False,,
Propnight,https://en.wikipedia.org/wiki/Propnight,Survival horror video games; 2020s horror video games,False,,
Puppet Master: The Game,https://en.wikipedia.org/wiki/Puppet_Master%3A_The_Game,Survival horror video games; 2020s horror video games,False,,
The Quarry (video game),https://en.wikipedia.org/wiki/The_Quarry_%28video_game%29,Survival horror video games; Werewolf video games; 2020s horror video games,False,,
A Quiet Place: The Road Ahead,https://en.wikipedia.org/wiki/A_Quiet_Place%3A_The_Road_Ahead,Survival horror video games; 2020s horror video games,False,,
R.E.P.O.,https://en.wikipedia.org/wiki/R.E.P.O.,Survival horror video games; 2020s horror video games,False,,
Ratshaker,https://en.wikipedia.org/wiki/Ratshaker,2020s horror video games,False,,
Reanimal,https://en.wikipedia.org/wiki/Reanimal,Survival horror video games; 2020s horror video games,False,,
Remothered: Broken Porcelain,https://en.wikipedia.org/wiki/Remothered%3A_Broken_Porcelain,Survival horror video games; 2020s horror video games; Psychological horror games,False,,
Renfield: Bring Your Own Blood,https://en.wikipedia.org/wiki/Renfield%3A_Bring_Your_Own_Blood,Video games based on Dracula; Video games about vampires; 2020s horror video games; Horror video game stubs,False,,
Resident Evil 3 (2020 video game),https://en.wikipedia.org/wiki/Resident_Evil_3_%282020_video_game%29,Survival horror video games; Resident Evil games; 2020s horror video games; Video games about zombies,False,,
Resident Evil 4 (2023 video game),https://en.wikipedia.org/wiki/Resident_Evil_4_%282023_video_game%29,Resident Evil games; 2020s horror video games,False,,
Resident Evil Village,https://en.wikipedia.org/wiki/Resident_Evil_Village,Video games about ghosts; Video games about cannibalism; Video games about spirit possession; 2020s horror video games; Video games about vampires; Resident Evil games; Gothic video games; Survival horror video games; Werewolf video games,False,,
Resident Evil: Resistance,https://en.wikipedia.org/wiki/Resident_Evil%3A_Resistance,Resident Evil spinoff games; Survival horror video games; 2020s horror video games; Video games about zombies,False,,
Returnal,https://en.wikipedia.org/wiki/Returnal,Science fiction horror video games; 2020s horror video games; Psychological horror games,False,,
Saeko: Giantess Dating Sim,https://en.wikipedia.org/wiki/Saeko%3A_Giantess_Dating_Sim,Video games about cannibalism; 2020s horror video games,False,,
Scarlet Hollow,https://en.wikipedia.org/wiki/Scarlet_Hollow,Dark fantasy video games; Gothic video games; 2020s horror video games,True,control+female_term,"the protagonist is invited to the funeral of their estranged aunt pearlanne by her daughter tabitha, the new head of the once-affluent scarlet family"
Scorn (video game),https://en.wikipedia.org/wiki/Scorn_%28video_game%29,Science fiction horror video games; 2020s horror video games; Psychological horror games; Body horror video games; Survival horror video games,False,,
Sense: A Cyberpunk Ghost Story,https://en.wikipedia.org/wiki/Sense%3A_A_Cyberpunk_Ghost_Story,Video games about ghosts; 2020s horror video games,False,,
Signalis,https://en.wikipedia.org/wiki/Signalis,Survival horror video games; 2020s horror video games,True,control+female_term,the player controls a gynoid named elster as she aims to solve supernatural mysteries after waking up in a hostile mining facility
Silent Hill 2 (2024 video game),https://en.wikipedia.org/wiki/Silent_Hill_2_%282024_video_game%29,Survival horror video games; Psychological horror games; 2020s horror video games; Silent Hill games,True,control+female_term,"the playable character is james sunderland ( luke roberts ), a man drawn to the town by the possibility of seeing his deceased wife, mary ( salóme gunnarsdóttir )"
Silent Hill f,https://en.wikipedia.org/wiki/Silent_Hill_f,Video games about demons; 2020s horror video games; Psychological horror games; Survival horror video games; Silent Hill games,False,,
Silent Hill: The Short Message,https://en.wikipedia.org/wiki/Silent_Hill%3A_The_Short_Message,Psychological horror games; 2020s horror video games; Silent Hill games,False,,
Silt (video game),https://en.wikipedia.org/wiki/Silt_%28video_game%29,2020s horror video games,False,,
The Sinking City 2,https://en.wikipedia.org/wiki/The_Sinking_City_2,Survival horror video games; 2020s horror video games; Psychological horror games,False,,
Slay the Princess,https://en.wikipedia.org/wiki/Slay_the_Princess,Dark fantasy video games; Body horror video games; 2020s horror video games; Psychological horror games,False,,
Slitterhead,https://en.wikipedia.org/wiki/Slitterhead,2020s horror video games,False,,
Sons of the Forest,https://en.wikipedia.org/wiki/Sons_of_the_Forest,Survival horror video games; Body horror video games; Video games about cannibalism; 2020s horror video games,False,,
Still Wakes the Deep,https://en.wikipedia.org/wiki/Still_Wakes_the_Deep,2020s horror video games; Psychological horror games,False,,
Sucker for Love: Date to Die For,https://en.wikipedia.org/wiki/Sucker_for_Love%3A_Date_to_Die_For,Cthulhu Mythos video games; Video games based on The Shadow over Innsmouth; 2020s horror video games,False,,
Sucker for Love: First Date,https://en.wikipedia.org/wiki/Sucker_for_Love%3A_First_Date,Cthulhu Mythos video games; 2020s horror video games,False,,
The Tartarus Key,https://en.wikipedia.org/wiki/The_Tartarus_Key,2020s horror video games,False,,
The Texas Chain Saw Massacre (2023 video game),https://en.wikipedia.org/wiki/The_Texas_Chain_Saw_Massacre_%282023_video_game%29,2020s horror video games,False,,
Threshold (2024 video game),https://en.wikipedia.org/wiki/Threshold_%282024_video_game%29,2020s horror video games; Psychological horror games,False,,
Tormented Souls,https://en.wikipedia.org/wiki/Tormented_Souls,Survival horror video games; 2020s horror video games,False,,
Toxic Commando,https://en.wikipedia.org/wiki/Toxic_Commando,Survival horror video games; 2020s horror video games; Video games about zombies,False,,
Vampire: The Masquerade – Swansong,https://en.wikipedia.org/wiki/Vampire%3A_The_Masquerade_%E2%80%93_Swansong,Vampire: The Masquerade video games; Dark fantasy role-playing video games; 2020s horror video games,False,,
Visage (video game),https://en.wikipedia.org/wiki/Visage_%28video_game%29,Video games about demons; Video games about ghosts; 2020s horror video games; Psychological horror games,True,control+female_term,"the player controls dwayne anderson, an inhabitant of the home who committed suicide after killing his wife and children"
The Walking Dead: Destinies,https://en.wikipedia.org/wiki/The_Walking_Dead%3A_Destinies,2020s horror video games; The Walking Dead video games,False,,
The Walking Dead: Onslaught,https://en.wikipedia.org/wiki/The_Walking_Dead%3A_Onslaught,2020s horror video games; The Walking Dead video games,False,,
The Well (video game),https://en.wikipedia.org/wiki/The_Well_%28video_game%29,2020s horror video games,False,,
Who's Lila?,https://en.wikipedia.org/wiki/Who%27s_Lila%3F,Body horror video games; 2020s horror video games; Psychological horror games,False,,
Winnie's Hole,https://en.wikipedia.org/wiki/Winnie%27s_Hole,Horror video games based on children's franchises; Body horror video games; 2020s horror video games,False,,
World of Horror,https://en.wikipedia.org/wiki/World_of_Horror,Cthulhu Mythos video games; 2020s horror video games,False,,
Wraith: The Oblivion – Afterlife,https://en.wikipedia.org/wiki/Wraith%3A_The_Oblivion_%E2%80%93_Afterlife,Survival horror video games; Video games about ghosts; 2020s horror video games; World of Darkness video games,False,,
Wrath: Aeon of Ruin,https://en.wikipedia.org/wiki/Wrath%3A_Aeon_of_Ruin,Dark fantasy video games; Video games about demons; 2020s horror video games,False,,
You Will Die Here Tonight,https://en.wikipedia.org/wiki/You_Will_Die_Here_Tonight,Survival horror video games; 2020s horror video games; Video games about zombies,False,,
Zombie Army 4: Dead War,https://en.wikipedia.org/wiki/Zombie_Army_4%3A_Dead_War,2020s horror video games; Video games about zombies,False,,
Zoochosis (video game),https://en.wikipedia.org/wiki/Zoochosis_%28video_game%29,Survival horror video games; Body horror video games; 2020s horror video games,False,,
Alien 3 (video game),https://en.wikipedia.org/wiki/Alien_3_%28video_game%29,Alien (franchise) games,False,,
Alien 3: The Gun,https://en.wikipedia.org/wiki/Alien_3%3A_The_Gun,Alien (franchise) games,False,,
"List of Alien, Predator, and Alien vs. Predator games",https://en.wikipedia.org/wiki/List_of_Alien%2C_Predator%2C_and_Alien_vs._Predator_games,Predator (franchise) games; Alien (franchise) games; Alien vs. Predator (franchise) games,False,,
Alien Resurrection (video game),https://en.wikipedia.org/wiki/Alien_Resurrection_%28video_game%29,Alien (franchise) games,False,,
Alien Trilogy,https://en.wikipedia.org/wiki/Alien_Trilogy,Alien (franchise) games,False,,
Alien War,https://en.wikipedia.org/wiki/Alien_War,Alien (franchise) games,False,,
Alien: Rogue Incursion,https://en.wikipedia.org/wiki/Alien%3A_Rogue_Incursion,Survival horror video games; Alien (franchise) games,False,,
Alien: The Roleplaying Game,https://en.wikipedia.org/wiki/Alien%3A_The_Roleplaying_Game,Alien (franchise) games,False,,
Aliens Adventure Game,https://en.wikipedia.org/wiki/Aliens_Adventure_Game,Alien (franchise) games,False,,
Aliens Infestation,https://en.wikipedia.org/wiki/Aliens_Infestation,Alien (franchise) games,False,,
Aliens Online,https://en.wikipedia.org/wiki/Aliens_Online,Alien (franchise) games,False,,
Aliens the Board Game,https://en.wikipedia.org/wiki/Aliens_the_Board_Game,Alien (franchise) games,False,,
Aliens Versus Predator: Extinction,https://en.wikipedia.org/wiki/Aliens_Versus_Predator%3A_Extinction,Alien (franchise) games; Predator (franchise) games,False,,
Aliens: Alien 2,https://en.wikipedia.org/wiki/Aliens%3A_Alien_2,Alien (franchise) games,False,,
Aliens: Colonial Marines,https://en.wikipedia.org/wiki/Aliens%3A_Colonial_Marines,Alien (franchise) games,False,,
Aliens: Dark Descent,https://en.wikipedia.org/wiki/Aliens%3A_Dark_Descent,Alien (franchise) games,False,,
Aliens: Fireteam Elite,https://en.wikipedia.org/wiki/Aliens%3A_Fireteam_Elite,Alien (franchise) games,False,,
Aliens: Thanatos Encounter,https://en.wikipedia.org/wiki/Aliens%3A_Thanatos_Encounter,Alien (franchise) games,False,,
Alien vs Predator (Lynx game),https://en.wikipedia.org/wiki/Alien_vs_Predator_%28Lynx_game%29,Alien vs. Predator (franchise) games,False,,
Alien vs Predator (SNES video game),https://en.wikipedia.org/wiki/Alien_vs_Predator_%28SNES_video_game%29,Alien vs. Predator (franchise) games,False,,
Alien vs Predator: The Last of His Clan,https://en.wikipedia.org/wiki/Alien_vs_Predator%3A_The_Last_of_His_Clan,Alien vs. Predator (franchise) games,False,,
Alien vs. Predator (arcade game),https://en.wikipedia.org/wiki/Alien_vs._Predator_%28arcade_game%29,Alien vs. Predator (franchise) games,False,,
Alien vs. Predator 2D,https://en.wikipedia.org/wiki/Alien_vs._Predator_2D,Alien vs. Predator (franchise) games,False,,
Aliens Predator Customizable Card Game,https://en.wikipedia.org/wiki/Aliens_Predator_Customizable_Card_Game,Alien vs. Predator (franchise) games,False,,
Aliens Versus Predator (1999 video game),https://en.wikipedia.org/wiki/Aliens_Versus_Predator_%281999_video_game%29,Alien vs. Predator (franchise) games,False,,
Aliens Versus Predator 2,https://en.wikipedia.org/wiki/Aliens_Versus_Predator_2,Alien vs. Predator (franchise) games,False,,
Aliens vs. Predator (2010 video game),https://en.wikipedia.org/wiki/Aliens_vs._Predator_%282010_video_game%29,Alien vs. Predator (franchise) games,False,,
Aliens vs. Predator: Requiem (video game),https://en.wikipedia.org/wiki/Aliens_vs._Predator%3A_Requiem_%28video_game%29,Alien vs. Predator (franchise) games,False,,
AVP: Evolution,https://en.wikipedia.org/wiki/AVP%3A_Evolution,Alien vs. Predator (franchise) games,False,,
Soldiers Inc.,https://en.wikipedia.org/wiki/Soldiers_Inc.,Alien vs. Predator (franchise) games,False,,
Alone in the Dark,https://en.wikipedia.org/wiki/Alone_in_the_Dark,Alone in the Dark,False,,
Alone in the Dark (2005 film),https://en.wikipedia.org/wiki/Alone_in_the_Dark_%282005_film%29,Alone in the Dark,False,,
Alone in the Dark (2024 video game),https://en.wikipedia.org/wiki/Alone_in_the_Dark_%282024_video_game%29,Psychological horror games; Alone in the Dark; Cthulhu Mythos video games; Survival horror video games; Video games about zombies,False,,
Alone in the Dark II (film),https://en.wikipedia.org/wiki/Alone_in_the_Dark_II_%28film%29,Alone in the Dark,False,,
BioShock (series),https://en.wikipedia.org/wiki/BioShock_%28series%29,BioShock (series) games,True,control+female_term,"in comparison to bioshock ' s questions of free will and humans' destiny, bioshock 2 ' s director jordan thomas said that the player character is ""almost the ultimate individual"" whom lamb goads to fulfill her goals"
BioShock 2,https://en.wikipedia.org/wiki/BioShock_2,BioShock (series) games,True,control+female_term,"unlike the first game's questions of free will and destiny, thomas said that the player character is ""almost the ultimate individual"" whom lamb goads to fulfill her goals"
BioShock 2: Minerva's Den,https://en.wikipedia.org/wiki/BioShock_2%3A_Minerva%27s_Den,BioShock (series) games,False,,
BioShock Infinite,https://en.wikipedia.org/wiki/BioShock_Infinite,BioShock (series) games,False,,
BioShock Infinite: Burial at Sea,https://en.wikipedia.org/wiki/BioShock_Infinite%3A_Burial_at_Sea,BioShock (series) games,False,,
BioShock: The Collection,https://en.wikipedia.org/wiki/BioShock%3A_The_Collection,BioShock (series) games,False,,
List of Buffy the Vampire Slayer video games,https://en.wikipedia.org/wiki/List_of_Buffy_the_Vampire_Slayer_video_games,Video games based on Buffy the Vampire Slayer,False,,
Buffy the Vampire Slayer (2000 video game),https://en.wikipedia.org/wiki/Buffy_the_Vampire_Slayer_%282000_video_game%29,Video games based on Buffy the Vampire Slayer,False,,
Buffy the Vampire Slayer (2002 video game),https://en.wikipedia.org/wiki/Buffy_the_Vampire_Slayer_%282002_video_game%29,Video games based on Buffy the Vampire Slayer,False,,
Buffy the Vampire Slayer: Chaos Bleeds,https://en.wikipedia.org/wiki/Buffy_the_Vampire_Slayer%3A_Chaos_Bleeds,Video games based on Buffy the Vampire Slayer,False,,
Buffy the Vampire Slayer: Wrath of the Darkhul King,https://en.wikipedia.org/wiki/Buffy_the_Vampire_Slayer%3A_Wrath_of_the_Darkhul_King,Video games based on Buffy the Vampire Slayer,False,,
Castlevania: Aria of Sorrow,https://en.wikipedia.org/wiki/Castlevania%3A_Aria_of_Sorrow,Castlevania games,False,,
Castlevania (1999 video game),https://en.wikipedia.org/wiki/Castlevania_%281999_video_game%29,Castlevania games; Video games about vampires,False,,
Castlevania Advance Collection,https://en.wikipedia.org/wiki/Castlevania_Advance_Collection,Castlevania games,False,,
Castlevania Anniversary Collection,https://en.wikipedia.org/wiki/Castlevania_Anniversary_Collection,Castlevania games,False,,
Castlevania Chronicles,https://en.wikipedia.org/wiki/Castlevania_Chronicles,Castlevania games,False,,
Castlevania: Circle of the Moon,https://en.wikipedia.org/wiki/Castlevania%3A_Circle_of_the_Moon,Castlevania games,False,,
Castlevania: Dawn of Sorrow,https://en.wikipedia.org/wiki/Castlevania%3A_Dawn_of_Sorrow,Castlevania games,False,,
Castlevania: The Dracula X Chronicles,https://en.wikipedia.org/wiki/Castlevania%3A_The_Dracula_X_Chronicles,Castlevania games,False,,
Castlevania: Harmony of Dissonance,https://en.wikipedia.org/wiki/Castlevania%3A_Harmony_of_Dissonance,Castlevania games,False,,
Castlevania: Lament of Innocence,https://en.wikipedia.org/wiki/Castlevania%3A_Lament_of_Innocence,Castlevania games; Video games about vampires,False,,
Castlevania: Legacy of Darkness,https://en.wikipedia.org/wiki/Castlevania%3A_Legacy_of_Darkness,Werewolf video games; Castlevania games,False,,
Castlevania: Lords of Shadow,https://en.wikipedia.org/wiki/Castlevania%3A_Lords_of_Shadow,Castlevania games; Dark fantasy video games,False,,
Castlevania: Order of Ecclesia,https://en.wikipedia.org/wiki/Castlevania%3A_Order_of_Ecclesia,Castlevania games,True,protagonist+she,"joystiq writer candace savino expressed excitement for her during the pre-release of order of ecclesia , calling her a ""pretty badass character."" escapist magazine writer keane ng however felt that she would  not ""spark a gender revolution in the ranks of videogame protagonists,"" but still felt that she was a unique protagonist in the series"
Castlevania: Portrait of Ruin,https://en.wikipedia.org/wiki/Castlevania%3A_Portrait_of_Ruin,Castlevania games,True,explicit_phrase,Contains explicit phrase 'female protagonist'.
Castlevania Judgment,https://en.wikipedia.org/wiki/Castlevania_Judgment,Castlevania spinoff games,False,,
Castlevania Puzzle: Encore of the Night,https://en.wikipedia.org/wiki/Castlevania_Puzzle%3A_Encore_of_the_Night,Castlevania spinoff games,False,,
Castlevania: Grimoire of Souls,https://en.wikipedia.org/wiki/Castlevania%3A_Grimoire_of_Souls,Castlevania spinoff games,False,,
Castlevania: Harmony of Despair,https://en.wikipedia.org/wiki/Castlevania%3A_Harmony_of_Despair,Castlevania spinoff games,False,,
